region,point,event_id,snapshot_timestamp,sample_type,tier,elevation,slope_deg,aspect,TWI,TRI,distance_to_river_m,flow_accumulation_cells,drainage_density_km_per_km2,cwc_danger_level_m,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_24h,rainfall_72h_antecedent,antecedent_precipitation_index,rain_intensity_mm_hr,soil_saturation_ratio,river_water_level_m,river_level_change_m_per_hr,tier_int
Wayanad,Chooralmala,UEI-IMD-FL-1984-0036,1984-06-14T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.6,3.9,6.1,27.3,68.4,7.1878,0.6,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1984-0036,1984-06-14T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.8,1.6,2.5,26.6,70.9,4.6925,0.8,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1984-0036,1984-06-15T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.2,3.7,6.1,25.7,77.0,6.6608,1.2,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1984-0041,1984-06-28T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.4,,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1984-0041,1984-06-29T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.6,2.2,5.1,24.2,24.2,5.6216,0.6,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1984-0041,1984-06-30T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,2.3,5.4,10.5,33.8,58.0,9.9693,2.3,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1984-0041,1984-06-30T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.4,4.8,10.1,29.9,71.7,9.0883,1.4,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1984-0041,1984-06-30T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,2.5,7.4,13.2,37.4,84.9,13.2096,2.5,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1984-0041,1984-07-01T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,3.6,9.3,16.0,42.9,100.9,16.6732,3.6,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1991-0044,1991-06-03T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.0,,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1991-0044,1991-06-04T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.9,3.5,6.1,32.6,32.6,7.1471,0.9,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1991-0044,1991-06-05T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,2.6,6.7,20.0,80.9,113.5,20.5762,2.6,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1991-0044,1991-06-05T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,6.1,17.3,28.5,86.3,158.8,30.4493,6.1,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1991-0044,1991-06-05T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,2.4,9.5,28.3,93.6,187.1,26.5157,2.4,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1991-0044,1991-06-06T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.3,4.7,17.7,91.3,204.8,19.921,1.3,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1992-0026,1992-06-05T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.0,,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1992-0026,1992-06-06T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.2,0.8,3.3,17.4,17.4,4.1944,0.2,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1992-0026,1992-06-07T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.0,10.7,28.1,0.6187,0.0,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1992-0026,1992-06-07T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.2,2.9,6.7,8.1,35.9,4.03,0.2,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1992-0026,1992-06-07T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.9,8.7,36.8,1.9192,0.0,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1992-0026,1992-06-08T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.4,0.4,0.5,9.2,37.3,1.8082,0.4,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1992-0027,1992-06-29T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.4,,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1992-0027,1992-06-30T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,2.0,8.3,13.7,36.9,36.9,12.7369,2.0,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1992-0027,1992-07-01T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.6,2.6,3.4,25.8,62.7,4.4261,0.6,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1992-0027,1992-07-01T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,4.1,6.9,10.0,22.2,78.8,9.7534,4.1,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1992-0027,1992-07-01T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.5,1.7,3.8,23.3,82.6,5.6992,0.5,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1992-0027,1992-07-02T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.3,1.1,4.1,24.0,86.7,4.5106,0.3,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1995-0053,1995-10-12T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.1,,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1995-0053,1995-10-13T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.1,7.4,7.4,1.0683,0.0,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1995-0053,1995-10-14T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.0,0.0,7.4,0.0216,0.0,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1995-0053,1995-10-14T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.3,0.8,1.2,1.2,8.6,0.78,0.3,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1995-0053,1995-10-14T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.4,1.6,9.0,0.4873,0.0,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1995-0053,1995-10-15T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.0,1.6,9.0,0.1838,0.0,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1996-0053,1996-06-13T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.2,,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1996-0053,1996-06-14T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,2.1,5.7,13.1,58.3,58.3,17.7227,2.1,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1996-0053,1996-06-15T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.1,7.5,18.4,123.4,181.7,23.9331,1.1,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1996-0053,1996-06-15T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.0,4.9,13.8,80.6,205.6,14.8549,1.0,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1996-0053,1996-06-15T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.3,4.7,9.0,51.3,214.6,11.3766,1.3,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1996-0053,1996-06-16T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,3.3,8.0,13.3,46.2,227.9,16.0918,3.3,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1998-0057,1998-06-29T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,5.1,,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1998-0057,1998-06-30T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,2.2,7.3,11.9,66.4,66.4,14.0747,2.2,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1998-0057,1998-07-01T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,2.6,7.3,14.6,66.8,133.2,16.6113,2.6,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1998-0057,1998-07-01T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,3.1,13.1,20.0,60.3,162.4,21.3895,3.1,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1998-0057,1998-07-01T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.7,2.1,11.0,54.8,173.4,12.467,0.7,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1998-0057,1998-07-02T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,2.4,7.2,11.2,51.4,184.6,13.295,2.4,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1998-0059,1998-10-07T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.0,,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1998-0059,1998-10-08T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.2,0.6,0.6,8.9,8.9,1.4214,0.2,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1998-0059,1998-10-09T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.2,1.7,3.3,10.6,19.5,3.0595,0.2,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1998-0059,1998-10-09T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,2.1,6.0,9.1,15.3,29.4,8.0057,2.1,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1998-0059,1998-10-09T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.4,4.2,9.4,22.6,38.8,9.1584,1.4,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1998-0059,1998-10-10T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.2,2.7,4.5,23.8,43.3,6.7538,1.2,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1999-0050,1999-10-15T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.0,,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1999-0050,1999-10-16T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.1,0.7,1.5,12.0,12.0,2.5864,0.1,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1999-0050,1999-10-17T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.0,12.3,24.3,1.3372,0.0,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1999-0050,1999-10-17T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.5,5.5,10.0,12.2,35.3,7.2244,1.5,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1999-0050,1999-10-17T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,1.3,12.3,36.6,2.9465,0.0,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1999-0050,1999-10-18T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.1,0.5,0.9,13.2,37.5,1.8567,0.1,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2000-0068,2000-08-19T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.2,,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2000-0068,2000-08-20T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.8,2.3,3.0,8.1,8.1,3.3957,0.8,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2000-0068,2000-08-21T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.3,0.9,1.4,8.0,16.1,1.4849,0.3,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2000-0068,2000-08-21T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.0,2.6,6.9,15.1,28.7,6.2673,1.0,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2000-0068,2000-08-21T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,2.8,7.4,10.4,24.4,39.1,12.1776,2.8,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2000-0068,2000-08-22T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,2.9,8.2,17.3,40.3,56.4,15.7255,2.9,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2004-0036,2004-07-04T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.7,,0.97,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2004-0036,2004-07-05T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.1,0.7,1.4,9.1,9.1,1.4447,0.1,0.96,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2004-0036,2004-07-06T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.0,1.2,10.3,0.132,0.0,0.96,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2004-0036,2004-07-06T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,3.0,3.6,4.0,4.4,14.5,3.7529,3.0,0.95,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2004-0036,2004-07-06T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.7,4.9,15.2,1.8198,0.0,0.95,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2004-0036,2004-07-07T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.6,5.5,15.8,0.9429,0.0,0.95,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2004-0038,2004-07-31T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.0,,0.97,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2004-0038,2004-08-01T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.6,0.8,7.3,7.3,1.4105,0.0,0.96,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2004-0038,2004-08-02T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.3,0.6,0.6,3.4,10.7,1.0694,0.3,0.96,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2004-0038,2004-08-02T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.4,0.8,1.1,4.7,12.8,1.9702,0.4,0.96,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2004-0038,2004-08-02T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.7,2.7,3.8,6.5,16.6,5.5885,1.7,0.95,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2004-0038,2004-08-03T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.2,3.8,9.2,15.1,25.8,7.242,1.2,0.96,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2005-0069,2005-04-03T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.0,,0.48,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2005-0069,2005-04-04T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.7,3.3,3.3,0.835,0.0,0.51,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2005-0069,2005-04-05T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.7,4.7,8.0,1.1498,0.0,0.51,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2005-0069,2005-04-05T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.5,2.0,4.1,8.1,12.1,2.9897,0.5,0.51,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2005-0069,2005-04-05T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.7,2.2,3.4,8.2,15.5,3.5246,0.7,0.51,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2005-0069,2005-04-06T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.5,1.4,1.8,9.3,17.3,3.1503,0.5,0.51,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2005-0072,2005-04-29T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.0,,0.52,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2005-0072,2005-04-30T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.0,1.5,1.5,0.1777,0.0,0.52,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2005-0072,2005-05-01T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,2.0,2.0,2.7,4.2,1.3358,0.0,0.51,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2005-0072,2005-05-01T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.6,1.0,1.0,3.1,5.3,1.0211,0.6,0.51,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2005-0072,2005-05-01T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.2,3.3,5.5,0.4738,0.0,0.52,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2005-0072,2005-05-02T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.0,1.3,5.5,0.1787,0.0,0.52,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2005-0074,2005-05-26T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.0,,0.49,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2005-0074,2005-05-27T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.0,6.9,6.9,0.9929,0.0,0.56,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2005-0074,2005-05-28T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.0,8.6,15.5,1.0605,0.0,0.57,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2005-0074,2005-05-28T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.1,0.8,3.9,8.8,19.4,3.5002,0.1,0.57,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2005-0074,2005-05-28T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,2.2,6.1,21.6,1.6751,0.0,0.57,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2005-0074,2005-05-29T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.0,6.1,21.6,0.6318,0.0,0.57,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2005-0075,2005-05-29T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.0,,0.57,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2005-0075,2005-05-30T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.4,1.0,2.4,3.4,3.4,1.9058,0.4,0.57,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2005-0075,2005-05-31T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.0,5.3,8.7,0.4826,0.0,0.57,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2005-0075,2005-05-31T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.2,0.5,2.9,3.7,12.0,1.7351,0.2,0.57,,,2
Wayanad,Chooralmala,UEI-IMD-FL-2005-0075,2005-05-31T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.3,0.9,4.2,12.9,1.587,0.0,0.58,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2005-0075,2005-06-01T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.2,1.2,1.7,5.9,14.6,1.6368,0.2,0.59,,,3
Wayanad,Chooralmala,UEI-IMD-FL-2005-0080,2005-07-04T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.3,,0.9,,,1
Wayanad,Chooralmala,UEI-IMD-FL-2005-0080,2005-07-05T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.8,2.2,3.6,37.5,37.5,6.1983,0.8,0.92,,,1
